,Ano_de_Trabalho,Nivel_de_Experiencia,Tipo_de_Emprego,Cargo,Salario,Moeda_do_Salario,Salario_em_USD,Residencia_do_Funcionario,Tipo_de_Contrato,Localizacao_da_Empresa,Tamanho_da_Empresa,Area_de_Atuacao,Salario_mensal_em_USD
0,2020,Pleno,Tempo integral,Data Scientist,"70000,0",EUR,"79833,0",DE,Presencial,DE,Grande,Cientista de Dados,"6652,75"
1,2020,Senior,Tempo integral,Machine Learning Scientist,"260000,0",USD,"260000,0",JP,Presencial,JP,Pequena,Cientista de Dados,"21666,67"
2,2020,Senior,Tempo integral,Big Data Engineer,"85000,0",GBP,"109024,0",GB,Híbrido,GB,Média,Engenheiro de Dados,"9085,33"
3,2020,Pleno,Tempo integral,Product Data Analyst,"20000,0",USD,"20000,0",HN,Presencial,HN,Pequena,Analista de Dados,"1666,67"
4,2020,Senior,Tempo integral,Machine Learning Engineer,"150000,0",USD,"150000,0",US,Híbrido,US,Grande,Cientista de Dados,"12500,0"
5,2020,Junior,Tempo integral,Data Analyst,"72000,0",USD,"72000,0",US,Remoto,US,Grande,Analista de Dados,"6000,0"
6,2020,Senior,Tempo integral,Lead Data Scientist,"190000,0",USD,"190000,0",US,Remoto,US,Pequena,Cientista de Dados,"15833,33"
7,2020,Pleno,Tempo integral,Data Scientist,"11000000,0",HUF,"35735,0",HU,Híbrido,HU,Grande,Cientista de Dados,"2977,92"
8,2020,Pleno,Tempo integral,Business Data Analyst,"135000,0",USD,"135000,0",US,Remoto,US,Grande,Analista de Dados,"11250,0"
9,2020,Senior,Tempo integral,Lead Data Engineer,"125000,0",USD,"125000,0",NZ,Híbrido,NZ,Pequena,Engenheiro de Dados,"10416,67"
10,2020,Junior,Tempo integral,Data Scientist,"45000,0",EUR,"51321,0",FR,Presencial,FR,Pequena,Cientista de Dados,"4276,75"
11,2020,Pleno,Tempo integral,Data Scientist,"3000000,0",INR,"40481,0",IN,Presencial,IN,Grande,Cientista de Dados,"3373,42"
12,2020,Junior,Tempo integral,Data Scientist,"35000,0",EUR,"39916,0",FR,Presencial,FR,Média,Cientista de Dados,"3326,33"
13,2020,Pleno,Tempo integral,Lead Data Analyst,"87000,0",USD,"87000,0",US,Remoto,US,Grande,Analista de Dados,"7250,0"
14,2020,Pleno,Tempo integral,Data Analyst,"85000,0",USD,"85000,0",US,Remoto,US,Grande,Analista de Dados,"7083,33"
15,2020,Pleno,Tempo integral,Data Analyst,"8000,0",USD,"8000,0",PK,Híbrido,PK,Grande,Analista de Dados,"666,67"
16,2020,Junior,Tempo integral,Data Engineer,"4450000,0",JPY,"41689,0",JP,Remoto,JP,Pequena,Engenheiro de Dados,"3474,08"
17,2020,Senior,Tempo integral,Big Data Engineer,"100000,0",EUR,"114047,0",PL,Remoto,GB,Pequena,Engenheiro de Dados,"9503,92"
18,2020,Junior,Tempo integral,Data Science Consultant,"423000,0",INR,"5707,0",IN,Híbrido,IN,Média,Cientista de Dados,"475,58"
19,2020,Pleno,Tempo integral,Lead Data Engineer,"56000,0",USD,"56000,0",PT,Remoto,US,Média,Engenheiro de Dados,"4666,67"
20,2020,Pleno,Tempo integral,Machine Learning Engineer,"299000,0",CNY,"43331,0",CN,Presencial,CN,Média,Cientista de Dados,"3610,92"
21,2020,Pleno,Tempo integral,Product Data Analyst,"450000,0",INR,"6072,0",IN,Remoto,IN,Grande,Analista de Dados,"506,0"
